Subject Number,Gender,Nice_Mean,Test Date,Age,Age Category,Ethnicity,Usable_Final_Sally,Exclusion_Criteria_Sally,Where will Sally look?,Where does Sally think her ball is?,Should Anne and Sally be friends?,Is Anne a nice girl or not a nice girl,Is Sally a nice girl or not a nice girl?,Order of think and look asked,1: look asked first; 2: think asked first 
1172,F,Mean,8/15/13,2.869267625,younger,Mix as Wh,0,was too young,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1173,F,Mean,8/15/13,4.101861993,four,Br,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1174,M,Mean,8/16/13,4.642335766,four,Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1175,F,Mean,8/16/13,4.372946331,four,As,1,,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1176,F,Nice,8/16/13,3.181382615,three,As,0,interference by others,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1177,M,Nice,8/16/13,4.027929901,four,Wh,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1178,M,Mean,8/16/13,4.027929901,four,Wh ,1,,Basket,Closet,Yes,Nice,Mean,Look 1st asked,1
1179,M,Nice,8/17/13,3.33744011,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1180,M,Mean,8/17/13,3.318275154,three,Mix,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1181,F,Nice,8/17/13,4.288061336,four,White,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1182,M,Mean,8/17/13,4.049835706,four,Asian,0,interference by others,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1183,F,Mean,8/17/13,2.893908282,younger,As,0,was too young,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1184,F,Nice,8/18/13,4.959854015,four,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1185,F,Mean,8/18/13,4.820255474,four,White ,1,,Closet,Basket,No,Mean,Nice,Look 1st asked,1
1186,M,Mean,8/18/13,4.784671533,four,White,0,did not complete task,Closet,Basket,,Mean,,Look 1st asked,1
1187,F,Nice,8/18/13,4.482475356,four,White,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1188,F,Mean,8/18/13,5.162408759,five,Asian,0,was too old,,,,,,Look 1st asked,1
1189,F,Nice,8/18/13,3.594798084,three,White,1,,Closet,Closet,Yes,Mean,No,Look 1st asked,1
1190,M,Mean,8/18/13,3.677437021,three,White,0,interference by others,Closet,Basket,Yes,Mean,Yes,Look 1st asked,1
1191,M,Nice,8/20/13,3.077344285,three,Asian,1,,Closet,Closet,Yes,Nice,Yes,Look 1st asked,1
1192,M,Nice,8/20/13,3.559206023,three,White,1,,Closet,Basket,Yes,Nice,Yes,Look 1st asked,1
1193,M,Nice,8/22/13,4.04162103,four,White,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1194,M,Nice,8/22/13,3.726725082,three,As,1,,Closet,Basket,No,Nice,Nice,Look 1st asked,1
